# lambda                   energy         congugate_lambda

       0                        0                        0
0.361869443535622         1.43504228552261         8.71450519350002
0.361869422593211         1.43504210301988         8.71450388328895
0.361869393295774         1.43504184770727         8.71450204965772
0.361869355626071         1.43504151943461         8.71449969204823
0.36186930958341         1.43504111819593         8.71449681041094
0.361869255167011         1.43504064398448         8.71449340471499
0.361869192375821          1.4350400967912         8.71448947489553
0.361869121209198         1.43503947661056           8.714485020929
0.36186904166581         1.43503878343109         8.71448004273839
0.36186895374506         1.43503801724772         8.71447454030401
0.361868857445394         1.43503717804702         8.71446851353885
0.361868752766227         1.43503626582406         8.71446196242567
0.361868639705807         1.43503528056373          8.7144548868687
0.361868518263538         1.43503422226101         8.71444728685195
0.361868388437492         1.43503309089931         8.71443916227192
0.361868250227036          1.4350318864733         8.71443051311276
0.361868103630084         1.43503060896501         8.71442133926419
0.361867948645964         1.43502925836885         8.71441164071008
0.36186778527243         1.43502783466546         8.71440141733353
0.361867613508763         1.43502633784883         8.71439066911763
0.361867433352576         1.43502476789846         8.71437939593983
0.361867244803078         1.43502312480771         8.71436759778129
0.361867047857763         1.43502140855505         8.71435527451469
0.361866842515754         1.43501961913315         8.71434242611877
0.361866628774426         1.43501775651945         8.71432905246155
0.361866406632826         1.43501582070601         8.71431515351939
0.361866176088212         1.43501381166924         8.71430072915602
0.361865937139537         1.43501172940042         8.71428577934466
0.361865689783951         1.43500957387506         8.71427030394519
0.361865434020315         1.43500734508365         8.71425430292753
0.361865169845672         1.43500504300081         8.71423777614789
0.361864897258786          1.4350026676162         8.71422072357274
0.361864616256598         1.43500021890358         8.71420314505483
0.36186432683777         1.43499769685173         8.71418504055674
0.361864028999145         1.43499510143362         8.71416640992816
0.361863722739273         1.43499243263706         8.71414725312747
0.361863408054916         1.43498969043434         8.71412757000176
0.361863084944504         1.43498687481226         8.71410736050478
0.361862753404708         1.43498398574231         8.71408662448093
0.361862413433846         1.43498102321039          8.7140653618796
0.361862065028504         1.43497798718726         8.71404357254265
0.361861708186877         1.43497487765776         8.71402125641457
0.36186134290547         1.43497169459198         8.71399841333505
0.361860969182358         1.43496843797374          8.7139750432437
0.361860587013963         1.43496510777246         8.71395114597788
0.361860196398236         1.43496170397086         8.71392672147233
0.361859797331519         1.43495822653772         8.71390176956216
0.361859389811637         1.43495467545468         8.71387629017704
0.361858973834854         1.43495105068987         8.71385028315003
0.36185854939887         1.43494735222387         8.71382374840572
0.361858116499867         1.43494358002412         8.71379668577496
0.36185767513542         1.43493973407016         8.71376909517736
0.361857225301634         1.43493581432874         8.71374097644159
0.361856766995953         1.43493182077831         8.71371232948206
0.361856300214405         1.43492775338499         8.71368315412547
0.361855824954306         1.43492361212613         8.71365345028097
0.361855341211604         1.43491939696718         8.71362321777324
0.361854848983489         1.43491510788442         8.71359245650619
0.361854348265829         1.43491074484263          8.7135611663024
0.361853839055684         1.43490630781698         8.71352934706064
0.361853321348846         1.43490179677163         8.71349699860144
0.361852795142242         1.43489721168062         8.71346412081815
0.361852260431586         1.43489255250743         8.71343071352937
0.361851717213678         1.43488781922505         8.71339677662325
0.361851165484149         1.43488301179625         8.71336230991613
0.361850605239673         1.43487813019295         8.71332731329103
0.361850036475798         1.43487317437725         8.71329178656215
0.361849459189068         1.43486814431993          8.7132557296073
0.361848873374953         1.43486303998246          8.7132191422385
0.361848279029867         1.43485786133451          8.7131820243283
0.361847676149196         1.43485260833683         8.71314437568652
0.361847064729226         1.43484728095804         8.71310619618063
0.361846444765263         1.43484187915818         8.71306748561812
0.36184581625346         1.43483640290477         8.71302824386127
0.361845179189042         1.43483085215716         8.71298847071533
